,City,Country,Latitude,Longitude,Date,Temp (Day),Humidity,Cloudiness,Wind Speed
0,busselton,au,-33.65,115.33,1586923200,68.49,36,17,15.79
1,boke,gn,10.94,-14.3,1586952000,106.2,18,47,1.48
2,port lincoln,au,-34.73,135.87,1586917800,78.62,25,100,18.1
3,carnarvon,au,-24.87,113.63,1586923200,80.6,47,31,22.53
4,lompoc,us,34.64,-120.46,1586894400,59.27,82,1,9.24
5,vaini,to,-21.2,-175.2,1586991600,77.61,69,95,8.25
6,cheremukhovo,ru,60.35,59.99,1586934000,36.41,92,100,3.33
7,puerto ayora,ec,-0.74,-90.35,1586887200,79,91,100,7.9
8,vila franca do campo,pt,37.72,-25.43,1586955600,57,65,70,22.84
9,codrington,ag,-38.27,141.97,1586916000,75.76,28,100,17.45
10,ushuaia,ar,-54.8,-68.3,1586966400,51.48,70,80,4.45
11,san miguel,pa,13.48,-88.18,1586883600,81.41,72,0,3.22
13,nuevo ideal,mx,24.89,-105.07,1586890800,60.06,13,100,8.12
15,mataura,pf,-46.19,168.86,1586908800,48,95,100,5.39
16,hobart,au,-42.88,147.33,1586916000,58.14,82,90,4.59
17,vila velha,br,-20.33,-40.29,1586959200,83.82,66,1,11.07
18,qaanaaq,gl,77.48,-69.36,1586966400,12.78,90,99,2.84
19,sorong,id,-0.88,131.25,1586919600,85.15,70,50,8.97
20,albany,au,42.6,-73.97,1586880000,39.02,41,90,5.01
21,clyde river,ca,70.47,-68.59,1586880000,-2.2,84,1,0.69
22,khatanga,ru,71.97,102.5,1586926800,7.09,90,68,3.33
23,bar harbor,us,44.39,-68.2,1586880000,40.48,86,20,4.65
24,arraial do cabo,br,-22.97,-42.03,1586959200,77.97,74,1,1.59
25,port alfred,za,-33.59,26.89,1586944800,68.65,71,76,2.91
26,buldana,in,20.53,76.18,1586932200,100.81,9,29,12.48
27,constitucion,mx,-35.33,-72.42,1586880000,53.17,62,6,6.17
28,aljezur,pt,37.32,-8.8,1586952000,64.24,61,28,15.93
30,rikitea,pf,-23.12,-134.97,1586894400,76.24,66,21,6.91
31,elesbao veloso,br,-6.2,-42.14,1586959200,80.74,76,72,5.57
33,barrow,us,71.29,-156.79,1586901600,10.4,85,90,12.33
34,avarua,ck,-21.21,-159.78,1586901600,80.6,65,77,9.95
35,voh,nc,-20.97,164.7,1586912400,79.93,79,83,7.02
36,tilichiki,ru,60.47,166.1,1586908800,23.76,96,100,8.57
37,punta arenas,cl,-53.15,-70.92,1586966400,50.9,65,100,4.09
38,cherskiy,ru,68.75,161.3,1586912400,8.38,94,100,8.55
39,nikolskoye,ru,59.7,30.79,1586941200,39.36,73,75,7.99
40,lebu,cl,-37.62,-73.65,1586880000,55.44,72,100,1.43
41,maracaju,br,-21.61,-55.17,1586876400,61.16,69,3,8.72
42,dudinka,ru,69.41,86.18,1586930400,9.86,81,9,9.44
43,atessa,it,42.07,14.45,1586948400,52.79,50,0,10.09
44,georgetown,sh,5.41,100.34,1586926800,87.85,68,53,6.35
45,bluff,nz,-46.6,168.33,1586908800,48,95,100,16.06
46,guarapari,br,-20.67,-40.5,1586959200,80.17,73,7,3.74
47,vangaindrano,mg,-23.35,47.6,1586937600,81.1,74,21,6.29
48,kaitangata,nz,-46.28,169.85,1586908800,51.17,71,100,10.09
50,leland,no,34.26,-78.04,1586883600,67.46,93,75,4.45
51,hamilton,bm,39.18,-84.53,1586883600,32.97,69,1,6.67
52,colesberg,za,-30.72,25.1,1586944800,58.64,40,0,3.02
53,hervey bay,au,-25.3,152.85,1586912400,78.17,57,75,14.94
54,nakonde,zm,-9.34,32.74,1586941200,75.52,45,83,2.64
55,tuktoyaktuk,ca,69.45,-133.04,1586894400,24.8,85,40,6.58
56,kandrian,pg,-6.22,149.55,1586916000,85.01,71,20,6.49
57,kapaa,us,22.08,-159.32,1586901600,76.14,88,1,8.05
58,bethel,us,41.37,-73.41,1586880000,47.44,61,90,4.68
59,ribeira grande,pt,38.52,-28.7,1586955600,56.17,69,12,25.72
60,faanui,pf,-16.48,-151.75,1586901600,83.14,67,25,6.08
61,victoria,sc,22.29,114.16,1586923200,74.68,53,20,2.75
62,waipawa,nz,-41.41,175.52,1586908800,54.84,47,73,12.06
63,sibolga,id,1.74,98.78,1586926800,84.31,76,66,3.98
64,mahebourg,mu,-20.41,57.7,1586937600,79.18,75,60,21.43
67,okhotsk,ru,59.38,143.3,1586916000,31.86,89,0,7.9
68,axim,gh,4.87,-2.24,1586952000,88.2,64,6,8.39
69,chuy,uy,-33.7,-53.46,1586962800,63.23,80,99,20.4
70,manono,cd,-7.3,27.42,1586944800,79.63,66,68,4.23
71,atuona,pf,-9.8,-139.03,1586896200,82.24,66,48,4.09
73,cape town,za,-33.93,18.42,1586944800,64.49,68,100,5.99
74,sao filipe,cv,14.9,-24.5,1586955600,73.76,71,82,7.43
75,ponta do sol,pt,32.67,-17.1,1586955600,64.74,65,58,11.43
76,taltal,cl,-25.4,-70.48,1586880000,58.6,78,9,1.07
77,richards bay,za,-28.78,32.04,1586941200,69.58,81,99,4.61
78,dikson,ru,73.51,80.55,1586930400,12.06,92,40,9.06
79,ostrovnoy,ru,68.05,39.51,1586941200,34.7,95,100,3.91
80,estelle,us,29.85,-90.11,1586887200,64.24,64,40,12.17
81,vanimo,pg,-2.67,141.3,1586916000,86.2,64,100,5.61
82,morondava,mg,-20.28,44.28,1586941200,87.19,58,0,5.97
84,henties bay,na,-22.12,14.28,1586948400,64.76,69,2,9.73
85,kisiwani,tz,-4.13,37.95,1586941200,83.3,49,92,3.85
86,puerto quijarro,bo,-17.78,-57.77,1586876400,71.98,73,26,3.6
87,butaritari,ki,3.07,172.79,1586908800,83.77,79,77,15.64
88,praia,cv,14.92,-23.51,1586955600,73.49,70,52,16.51
90,sioux lookout,ca,50.1,-91.92,1586887200,19.06,52,75,4.16
91,cabo san lucas,mx,22.89,-109.91,1586890800,68.11,45,5,11.3
92,bredasdorp,za,-34.53,20.04,1586944800,67.44,50,99,1.03
94,pochutla,mx,15.74,-96.47,1586887200,79,74,100,4.59
95,cartagena,es,10.4,-75.51,1586883600,80.08,79,0,10.94
97,pangnirtung,ca,66.15,-65.71,1586880000,9.14,81,98,5.46
98,airai,pw,-8.93,125.41,1586919600,74.16,49,91,4.18
99,bud,no,39.45,-86.18,1586883600,34.45,51,40,4.59
100,broken hill,au,-31.95,141.43,1586917800,84.2,23,1,18.01
101,vao,nc,-22.67,167.48,1586908800,74.71,74,91,13.33
102,monroe,us,43.15,-77.68,1586883600,34.7,80,90,11.86
103,lakes entrance,au,-37.88,147.98,1586916000,86,18,89,4.56
104,port elizabeth,za,-33.92,25.57,1586944800,71.73,61,18,2.21
105,fuyu,cn,45.18,124.82,1586919600,59.94,27,99,11.63
106,saint-philippe,re,-21.36,55.77,1586937600,76.33,69,39,15.66
107,mackay,au,-21.15,149.2,1586916000,79.16,69,40,17.83
108,hilo,us,19.73,-155.09,1586901600,73.8,65,90,11.99
109,xixiang,cn,35.16,112.86,1586923200,77.56,26,0,8.03
110,luanda,ao,-8.84,13.23,1586948400,83.55,75,94,9.08
111,salta,ar,-24.79,-65.41,1586966400,67.5,37,0,4.5
112,iracoubo,gf,5.48,-53.2,1586962800,82.74,68,17,8.59
113,andenes,no,69.31,16.12,1586944800,36.73,80,94,21.23
114,geraldton,au,-28.77,114.6,1586923200,73.4,46,89,15.9
115,faya,td,18.39,42.45,1586941200,68,42,21,13.2
116,miles city,us,46.41,-105.84,1586890800,32,73,20,3.67
117,bambous virieux,mu,-20.34,57.76,1586937600,79.12,76,59,21.32
118,ossora,ru,59.24,163.07,1586912400,25.95,89,2,4.63
119,kodiak,us,57.79,-152.41,1586901600,42.8,87,90,5.35
120,thinadhoo,mv,0.53,72.93,1586934000,85.41,62,46,2.37
121,hermiston,us,45.84,-119.29,1586890800,61.12,33,1,17.67
122,jamestown,sh,42.1,-79.24,1586883600,32.04,92,40,6.78
123,chokurdakh,ru,70.63,147.92,1586916000,-0.89,90,0,7.94
124,owando,cg,-0.48,15.9,1586944800,90.32,52,83,2.42
126,eravur,lk,7.77,81.61,1586932200,88.56,60,15,7.7
127,wageningen,sr,51.97,5.67,1586948400,57.2,46,100,2.28
128,skibbereen,ie,51.55,-9.27,1586952000,51.98,69,2,15.66
129,bozdar,pk,27.18,68.64,1586934000,92.46,34,0,11.86
130,vardo,no,70.37,31.11,1586941200,37.08,81,42,23.13
131,mount isa,au,-20.73,139.5,1586916000,93.2,26,35,12.44
132,hermanus,za,-34.42,19.23,1586944800,64.15,60,100,5.03
133,provideniya,ru,64.38,-173.3,1586991600,31.98,94,99,5.99
134,husavik,is,66.04,-17.34,1586955600,34.66,89,72,6.11
135,bubaque,gw,11.28,-15.83,1586955600,81,48,69,4.85
136,nargana,pa,9.44,-78.59,1586883600,79.07,79,39,4.38
137,zalantun,cn,48.0,122.72,1586919600,53.04,33,2,12.88
138,belyy yar,ru,53.6,91.39,1586926800,52.83,60,27,6.17
139,touho,nc,-20.78,165.23,1586908800,78.24,79,38,15.7
140,birao,cf,10.28,22.79,1586944800,96.21,8,8,12.88
141,york,gb,40.13,-77.0,1586883600,38.46,80,90,8.79
142,lagoa,pt,39.05,-27.98,1586955600,56.03,69,32,24.9
143,iqaluit,ca,63.75,-68.51,1586880000,15.39,66,75,9.28
144,yerbogachen,ru,61.28,108.01,1586923200,43.9,65,87,5.08
145,urumqi,cn,43.8,87.6,1586930400,64,41,68,13.02
146,oktyabrskoye,ru,43.06,44.74,1586941200,69.1,28,44,2.89
147,lavrentiya,ru,65.58,-171.0,1586991600,32.34,96,90,3.02
148,tiksi,ru,71.69,128.87,1586919600,6.75,94,100,15.3
149,nuevo progreso,mx,23.17,-97.95,1586887200,73.72,67,72,18.1
150,phalodi,in,27.13,72.37,1586932200,97.2,15,26,9.33
151,dingle,ie,11.0,122.67,1586919600,91.02,48,13,8.19
152,kizhinga,ru,51.85,109.91,1586923200,42.35,58,100,10.38
153,cidreira,br,-30.18,-50.21,1586962800,66.38,46,0,21.52
154,sur,om,22.57,59.53,1586937600,87.6,40,43,6.49
155,ayan,ru,56.45,138.17,1586916000,34.14,82,0,7.94
156,manzhouli,cn,49.6,117.43,1586923200,50.29,31,99,21.45
157,upernavik,gl,72.79,-56.15,1586962800,22.17,92,53,5.19
158,yellowknife,ca,62.46,-114.35,1586890800,30.09,68,75,6.73
160,lichinga,mz,-13.31,35.24,1586941200,75.99,46,1,4.05
161,hay river,ca,60.82,-115.8,1586890800,33.8,86,90,6.71
163,hofn,is,64.25,-15.21,1586955600,42.71,60,0,12.59
164,oyama,jp,36.3,139.8,1586916000,68.32,24,40,6.76
165,belmonte,br,-15.86,-38.88,1586959200,82.83,67,77,4.14
166,kavieng,pg,-2.57,150.8,1586912400,83.48,75,61,9.01
167,fortuna,us,40.6,-124.16,1586894400,52.72,71,1,5.57
168,naumburg,de,51.15,11.82,1586948400,55.47,53,58,10.78
170,mar del plata,ar,-38.0,-57.56,1586962800,60.78,68,10,17.78
171,lata,sb,40.16,-8.33,1586952000,63.66,57,83,14.56
172,lugo,es,43.0,-7.5,1586952000,61.27,58,98,6.98
173,naze,jp,28.37,129.48,1586919600,68.92,56,75,2.01
174,goderich,sl,43.75,-81.72,1586883600,32.77,61,35,14.88
175,chippewa falls,us,44.94,-91.39,1586887200,22.64,73,90,5.48
176,port hardy,ca,50.7,-127.42,1586894400,55.4,71,40,18.88
177,atar,mr,20.52,-13.05,1586952000,89.53,12,0,0.6
178,kaltasy,ru,55.97,54.8,1586937600,50.45,60,97,6.6
179,grindavik,is,63.84,-22.43,1586955600,40.69,69,93,27.22
180,haines junction,ca,60.75,-137.51,1586898000,39.2,62,56,3.89
181,ozernovskiy,ru,51.5,156.52,1586912400,32.07,89,100,6.42
182,torbay,ca,47.67,-52.73,1586964600,35.96,80,71,5.19
184,grand gaube,mu,-20.01,57.66,1586937600,79.25,76,18,24.81
185,manokwari,id,-0.87,134.08,1586919600,85.44,64,89,5.08
186,flinders,au,-34.58,150.86,1586912400,79.2,39,71,8.99
187,san antonio,cl,29.42,-98.49,1586887200,54.48,62,1,12.55
188,takoradi,gh,4.88,-1.76,1586952000,87.71,66,32,9.78
189,isangel,vu,-19.55,169.27,1586908800,82.76,66,100,6.89
190,souillac,mu,-20.52,57.52,1586937600,79.34,74,56,20.58
191,nurota,uz,40.56,65.69,1586934000,57.52,54,0,14.5
192,vila,vu,42.03,-8.16,1586952000,53.44,58,90,14.29
193,edd,er,13.93,41.69,1586941200,83.46,63,100,12.73
194,gubkin,ru,51.28,37.55,1586941200,45.99,49,64,16.51
195,parabel,ru,58.7,81.48,1586930400,40.66,91,100,7.99
196,aklavik,ca,68.22,-135.01,1586894400,35.6,64,75,9.01
198,barentu,er,15.11,37.59,1586941200,90.12,12,0,7.43
199,klaksvik,fo,62.23,-6.59,1586952000,45.68,82,100,24.79
200,nanortalik,gl,60.14,-45.24,1586962800,36.19,92,100,17.74
201,morros,br,-9.45,-46.3,1586962800,72.34,79,97,4.97
202,narsaq,gl,60.92,-46.05,1586962800,36.77,89,100,9.75
203,tasiilaq,gl,65.61,-37.64,1586959200,28.04,88,85,3.31
204,kruisfontein,za,-34.0,24.73,1586944800,71.35,49,0,1.81
205,akure,ng,7.25,5.19,1586948400,98.6,35,97,3.13
206,mongomo,gq,1.63,11.31,1586948400,89.87,46,87,0.56
207,luderitz,na,-26.65,15.16,1586944800,72.03,31,0,15.7
208,beloha,mg,-25.17,45.05,1586937600,92.97,31,0,7.4
210,winslow,us,35.02,-110.7,1586890800,41.85,52,1,3.51
211,hasaki,jp,35.73,140.83,1586916000,66.36,42,75,10.69
212,bandarban,bd,22.2,92.23,1586926800,96.28,50,10,6.98
213,tawang,in,27.58,91.87,1586928600,64.87,15,0,6.82
214,soyo,ao,-6.13,12.37,1586948400,86.11,72,100,8.59
215,kotovsk,ru,47.75,29.53,1586944800,46,49,28,16.11
216,hobyo,so,5.35,48.53,1586937600,88.47,59,7,11.05
217,puerto del rosario,es,28.5,-13.86,1586952000,67.53,57,77,6.06
218,port macquarie,au,-31.43,152.92,1586912400,80.17,50,0,8.84
219,dossor,kz,47.53,52.98,1586937600,64.27,26,4,26.51
220,batemans bay,au,-35.72,150.18,1586912400,74.93,76,42,8.1
221,adrar,dz,20.5,-10.07,1586952000,89.98,27,0,10.85
222,sabac,rs,44.75,19.69,1586944800,48.34,55,0,7.11
223,majene,id,-3.54,118.97,1586923200,87.8,59,75,3.62
224,kiama,au,-34.68,150.87,1586912400,76.62,39,65,9.4
225,waitati,nz,-45.75,170.57,1586908800,52.54,64,100,8.37
226,tuatapere,nz,-46.13,167.68,1586908800,48,95,100,2.73
227,amahai,id,-3.33,128.92,1586919600,81.54,77,91,5.95
229,grand-santi,gf,4.25,-54.38,1586962800,89.1,46,100,3.94
230,dali,cn,25.7,100.18,1586926800,78.57,14,0,7.29
231,marzuq,ly,14.4,46.47,1586937600,86.61,27,0,10.04
232,balkhash,kz,46.84,74.98,1586930400,49.5,43,0,12.53
233,sena madureira,br,-9.07,-68.66,1586880000,75.47,84,63,1.61
234,cordoba,ar,-31.41,-64.18,1586966400,69.8,27,0,6.82
235,nueva germania,py,-23.9,-56.57,1586876400,55.33,57,0,3.71
236,shelburne,ca,44.08,-80.2,1586883600,29.44,68,75,6.71
237,novaya zaimka,ru,56.49,66.92,1586934000,42.53,64,94,9.26
238,san cosme y damian,py,-27.32,-56.35,1586876400,51.35,65,0,2.89
239,kalmunai,lk,7.42,81.82,1586932200,89.11,57,30,6.76
240,ilulissat,gl,69.22,-51.1,1586962800,24.13,87,79,10.63
241,tambura,sd,5.6,27.47,1586944800,95.04,29,90,1.32
242,borba,br,-4.39,-59.59,1586876400,73.53,97,98,1.52
243,jackson,us,42.42,-122.83,1586894400,61.02,22,1,5.1
244,ibirite,br,-20.02,-44.06,1586959200,79.77,44,61,5.7
245,saint george,bm,37.1,-113.58,1586890800,48.6,25,1,2.24
246,hithadhoo,mv,-0.6,73.08,1586934000,84.97,65,23,2.06
247,coihaique,cl,-45.58,-72.07,1586880000,48.2,87,90,2.51
248,san patricio,mx,19.22,-104.7,1586887200,69.89,75,100,3.96
251,pacific grove,us,36.62,-121.92,1586894400,60.13,34,1,4.61
252,manicore,br,-5.81,-61.3,1586880000,75.2,100,75,2.24
253,enshi,cn,30.3,109.48,1586923200,73.51,43,0,1.41
254,jinchang,cn,38.5,102.17,1586926800,71.02,13,18,19.62
255,east london,za,-33.02,27.91,1586944800,67.3,78,83,8.37
256,prince rupert,ca,54.32,-130.32,1586894400,46.4,93,90,2.93
258,muli,mv,2.92,73.57,1586934000,85.33,65,28,4.34
259,matara,lk,5.95,80.54,1586932200,87.75,63,42,6.82
260,sitka,us,57.05,-135.33,1586898000,46.4,87,90,0.49
261,sobolevo,ru,54.43,31.9,1586941200,37.02,74,100,14.36
